"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"LQ",3,"fc.LQ_rm.3",0.903126086956522,0.939,0.151791887675136,0.0654882839414258,0.758637584876156,0.0826338860254289,0.4985,0.32650319038768,0.16564039408867,0.121622263808865,0.0175492610837438,0.0202703773014774,2716.81406818502,62.0699058565137,1.35560704812343e-14,16
"LQH",1,"fc.LQH_rm.1",0.941365217391304,0.952,0.102860825469742,0.124648425618561,0.840299785142384,0.120055897248705,0.80475,0.156587302592941,0.21551724137931,0.203759745991217,0.0258620689655172,0.0330147278536668,2726.58269900525,71.8385366767352,1.02542189817582e-16,50
"LQHP",2,"fc.LQHP_rm.2",0.939392173913044,0.976,0.104524276868852,0.108086436962589,0.834443365071457,0.100853640056801,0.6895,0.254680846027598,0.198275862068966,0.18755366519633,0.00862068965517241,0.0172413793103448,2727.0388555321,72.2946932035925,8.16299360817464e-17,49
"LQHPT",1.5,"fc.LQHPT_rm.1.5",0.951094782608696,0.973,0.103612913568914,0.111508894351577,0.845995498369404,0.106068848833211,0.7765,0.149160986856483,0.250307881773399,0.173906786460509,0.0258620689655172,0.0330147278536668,2731.12399008157,76.3798277530605,1.05870206483087e-17,56
"LQ",3.5,"fc.LQ_rm.3.5",0.89689652173913,0.938,0.151329779813973,0.063507913507956,0.756237724762058,0.0792460657718051,0.50875,0.324118676824812,0.122536945812808,0.12289587339838,0.0175492610837438,0.0202703773014774,2731.72227387909,76.9781115505798,7.84979082502175e-18,17
"LQH",1.5,"fc.LQH_rm.1.5",0.936593913043478,0.972,0.105860073821416,0.118937612021106,0.832073118974901,0.114664707015377,0.72275,0.219539480124495,0.21551724137931,0.218768578283612,0.0172413793103448,0.0344827586206897,2732.62384359821,77.8796812696974,5.00132073916632e-18,48
"LQHPT",2,"fc.LQHPT_rm.2",0.94594,0.972,0.103665751639046,0.114868487119847,0.839607244521132,0.106965764419473,0.67775,0.262267516097591,0.189655172413793,0.144937013941592,0.0172413793103448,0.0199086299720561,2734.27110134731,79.5269390188005,2.19476098696955e-18,53
"LQ",4,"fc.LQ_rm.4",0.891845217391304,0.928,0.150096251189522,0.0633198533638055,0.754340547230056,0.0771360325503669,0.50875,0.340319825066559,0.113916256157635,0.132003390286759,0.0175492610837438,0.0202703773014774,2738.06342882835,83.3192664998419,3.29529107784674e-19,16
"L",0.5,"fc.L_rm.0.5",0.878639130434783,0.853,0.204387232454238,0.067605492749546,0.679673796422063,0.0846992929928035,0.2555,0.272769133151095,0.0865147783251232,0.127312246681835,0.00862068965517241,0.0172413793103448,2772.62291682308,117.878754494574,1.03132682916513e-26,11
"L",1,"fc.L_rm.1",0.877236956521739,0.887,0.211477097211837,0.0728370207620535,0.671068369641784,0.0898977002091559,0.208,0.323122267880132,0.0865147783251232,0.127312246681835,0.00862068965517241,0.0172413793103448,2773.12756071803,118.383398389525,8.0133532178061e-27,11
"L",1.5,"fc.L_rm.1.5",0.874831739130435,0.897,0.211829003843171,0.0771562974769323,0.668769240559401,0.0918279669415501,0.2335,0.300100538708836,0.0954433497536946,0.123764898771193,0.00862068965517241,0.0172413793103448,2775.98601371313,121.241851384618,1.91915081600421e-27,11
"H",1.5,"fc.H_rm.1.5",0.936433913043478,0.974,0.103623312193764,0.122897706185308,0.847806064183519,0.130526178668108,0.838,0.226338978820117,0.163793103448276,0.139004443936182,0,0,2778.90888008685,124.164717758335,4.45058127395302e-28,54
"L",2,"fc.L_rm.2",0.871422608695652,0.918,0.208872553669482,0.0796936418200813,0.66924933388626,0.0921648012957174,0.22325,0.286801179681442,0.122229064039409,0.128344484953931,0,0,2780.62734172029,125.88317939178,1.88476641280583e-28,11
"L",2.5,"fc.L_rm.2.5",0.867953043478261,0.921,0.203415532551689,0.0736386367631334,0.671732160142453,0.0856209252485374,0.28225,0.296200804635414,0.13115763546798,0.134657600004308,0,0,2786.00502045328,131.260858124774,1.28088291921998e-29,11
"L",3,"fc.L_rm.3",0.863284347826087,0.924,0.192791879579951,0.0669965858865672,0.68113307479925,0.0795751357868068,0.34325,0.334736090076944,0.13115763546798,0.134657600004308,0,0,2793.1541131152,138.409950786689,3.59007637200616e-31,11
"L",3.5,"fc.L_rm.3.5",0.859793043478261,0.932,0.180047106054469,0.0591088646399591,0.692338686548551,0.0726547347740491,0.3915,0.319487610610073,0.139778325123153,0.147500756271066,0,0,2793.8364292276,139.092266899094,2.55235233845571e-31,9
"L",4,"fc.L_rm.4",0.859631304347826,0.929,0.165971571145068,0.0513815004926497,0.705191024687285,0.0654587609458469,0.45675,0.355536566333197,0.148706896551724,0.154432302669513,0,0,2794.59456479235,139.850402463836,1.74708316981474e-31,9
"H",1,"fc.H_rm.1",0.940305217391304,0.962,0.103189795421554,0.129120463227842,0.848805174116988,0.133419896165225,0.79675,0.14008420086981,0.189655172413793,0.150306860122092,0.00862068965517241,0.0172413793103448,2819.35635599523,164.612193666723,7.334304544155e-37,61
"LQHPT",1,"fc.LQHPT_rm.1",0.960407826086957,0.96,0.106993661393307,0.120840963094531,0.85137109826029,0.114828601021505,0.72525,0.164325642145913,0.310960591133005,0.179181901975301,0.0431034482758621,0.0330147278536668,2830.75973039077,176.015568062262,2.44989601789227e-39,70
"LQHP",1.5,"fc.LQHP_rm.1.5",0.94278,0.972,0.106106741497512,0.121373010753254,0.8362334355554,0.11570657085317,0.72175,0.17978575212365,0.181034482758621,0.141827157232794,0.0172413793103448,0.0344827586206897,2867.86142753014,213.117265201629,2.15088149598962e-47,67
"LQHP",1,"fc.LQHP_rm.1",0.944917391304348,0.973,0.110266207276363,0.125306989094929,0.835748788152626,0.121161371937723,0.71375,0.195782830367391,0.241379310344828,0.214422506967559,0.0258620689655172,0.0330147278536668,2880.67040595509,225.926243626577,3.55780514617365e-50,69
"LQH",0.5,"fc.LQH_rm.0.5",0.950413043478261,0.984,0.10846349949252,0.132886205053712,0.843390240358589,0.127946115517925,0.8135,0.13742513113207,0.250307881773399,0.210979378333841,0.0344827586206897,0.0398172599441121,4901.23406364536,2246.48990131685,0,104
"LQHP",0.5,"fc.LQHP_rm.0.5",0.953286086956522,0.985,0.113178720184252,0.139938319546766,0.841254649544988,0.135470008795046,0.7715,0.113732141455263,0.267549261083744,0.21281646950607,0.0431034482758621,0.0330147278536668,7508.47065677553,4853.72649444702,0,109
"H",0.5,"fc.H_rm.0.5",0.951273913043478,0.993,0.102758686740231,0.138191096556874,0.849654182007432,0.13325674719738,0.78,0.0902330316458447,0.224137931034483,0.204002751141366,0.0344827586206897,0.0398172599441121,NA,NA,NA,115
"LQHPT",0.5,"fc.LQHPT_rm.0.5",0.980299130434783,0.958,0.146772601242811,0.142645112028277,0.83442367193125,0.138398139823864,0.7735,0.0863114515384064,0.459667487684729,0.135166760947592,0.138238916256158,0.0739215525056017,NA,NA,NA,135
